method,file,subset,exp,threshold,ap,dataset
STAPLE,2375-0_mask.png,test,1,0.5,0.24390244,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.55,0.24390244,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.6,0.1590909,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.65,0.10869565,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.7,0.08510638,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.75,0.0625,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.8,0.040816326,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.85,0.02,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.8999999999999999,0.0,GFAP_in_HC
STAPLE,2375-0_mask.png,test,1,0.95,0.0,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.5,0.42857143,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.55,0.42857143,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.6,0.36363637,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.65,0.3043478,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.7,0.3043478,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.75,0.2,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.8,0.15384616,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.85,0.11111111,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.8999999999999999,0.071428575,GFAP_in_HC
STAPLE,2375-0_mask.png,test,2,0.95,0.071428575,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.5,0.41666666,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.55,0.3783784,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.6,0.3783784,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.65,0.34210527,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.7,0.34210527,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.75,0.275,GFAP_in_HC
STAPLE,2375-0_mask.png,test,3,0.8,0.10869565,GFAP_in_HC
