dataset,file,uncertainty_bins,error_rate,expert_agreement
PV_in_HC,1444.tif,0.0,0.0004919722038575136,0.9979668593286714
PV_in_HC,1444.tif,0.04,0.1977961432506887,0.3856749311294766
PV_in_HC,1444.tif,0.08,0.2096069868995633,0.4017467248908297
PV_in_HC,1444.tif,0.12,0.2983050847457627,0.3601694915254237
PV_in_HC,1444.tif,0.16,0.23956043956043954,0.3956043956043956
PV_in_HC,1444.tif,0.2,0.29545454545454547,0.26515151515151514
PV_in_HC,1444.tif,0.24,0.3367521367521367,0.18803418803418803
PV_in_HC,1444.tif,0.28,0.45755395683453226,0.1366906474820144
PV_in_HC,1444.tif,0.32,0.4252252252252253,0.18018018018018017
PV_in_HC,1444.tif,0.36,0.3867924528301887,0.16037735849056603
PV_in_HC,1444.tif,0.4,0.3522727272727273,0.19318181818181818
PV_in_HC,1444.tif,0.44,0.35555555555555557,0.18181818181818182
PV_in_HC,1444.tif,0.48,0.3893617021276596,0.14893617021276595
PV_in_HC,1444.tif,0.52,0.3855421686746988,0.18072289156626506
PV_in_HC,1444.tif,0.56,0.3912087912087912,0.12087912087912088
PV_in_HC,1444.tif,0.6,0.3833333333333333,0.16666666666666666
PV_in_HC,1444.tif,0.64,0.38510638297872346,0.11702127659574468
PV_in_HC,1444.tif,0.68,0.36190476190476195,0.11904761904761904
PV_in_HC,1444.tif,0.72,0.3829787234042554,0.06382978723404255
PV_in_HC,1444.tif,0.76,0.40380952380952384,0.11428571428571428
PV_in_HC,1444.tif,0.8,0.3913793103448276,0.10344827586206896
PV_in_HC,1444.tif,0.84,0.3238095238095239,0.05194805194805195
PV_in_HC,1444.tif,0.88,0.437704918032787,0.07377049180327869
PV_in_HC,1444.tif,0.92,0.4792207792207792,0.07792207792207792
PV_in_HC,1444.tif,0.96,0.4508287292817681,0.10497237569060773
PV_in_HC,1377.tif,0.0,0.0012843384831056097,0.9957252729315295
PV_in_HC,1377.tif,0.04,0.21394700139470016,0.3514644351464435
PV_in_HC,1377.tif,0.08,0.2564102564102564,0.3055555555555556
PV_in_HC,1377.tif,0.12,0.27875354107648725,0.21529745042492918
PV_in_HC,1377.tif,0.16,0.32227979274611396,0.14766839378238342
PV_in_HC,1377.tif,0.2,0.30000000000000004,0.2014388489208633
PV_in_HC,1377.tif,0.24,0.3232974910394265,0.17562724014336917
PV_in_HC,1377.tif,0.28,0.35760368663594483,0.08294930875576037
PV_in_HC,1377.tif,0.32,0.3486486486486487,0.15315315315315314
PV_in_HC,1377.tif,0.36,0.3313432835820896,0.15920398009950248
PV_in_HC,1377.tif,0.4,0.3624309392265193,0.11602209944751381
PV_in_HC,1377.tif,0.44,0.37272727272727274,0.06698564593301436
PV_in_HC,1377.tif,0.48,0.39808612440191393,0.11483253588516747
PV_in_HC,1377.tif,0.52,0.35681818181818187,0.125
PV_in_HC,1377.tif,0.56,0.39874213836477984,0.0880503144654088
PV_in_HC,1377.tif,0.6,0.41827956989247317,0.0967741935483871
PV_in_HC,1377.tif,0.64,0.3905882352941177,0.11176470588235295
PV_in_HC,1377.tif,0.68,0.4256983240223465,0.11173184357541899
PV_in_HC,1377.tif,0.72,0.42539682539682544,0.047619047619047616
PV_in_HC,1377.tif,0.76,0.43135135135135133,0.11351351351351352
PV_in_HC,1377.tif,0.8,0.4354978354978355,0.06493506493506493
PV_in_HC,1377.tif,0.84,0.4493506493506494,0.09090909090909091
PV_in_HC,1377.tif,0.88,0.4653333333333333,0.08333333333333333
PV_in_HC,1377.tif,0.92,0.4430051813471503,0.08031088082901554
PV_in_HC,1377.tif,0.96,0.492330383480826,0.06047197640117994
PV_in_HC,1418.tif,0.0,0.0008810733214488805,0.9964490482049138
PV_in_HC,1418.tif,0.04,0.21020733652312598,0.42424242424242425
PV_in_HC,1418.tif,0.08,0.26649616368286444,0.33248081841432225
