dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,threshold,average_precision
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.5,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.55,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.6,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.65,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.7,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.75,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.8,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.85,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.8999999999999999,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,0.95,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.5,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.55,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.6,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.65,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.7,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.75,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.8,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.85,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.8999999999999999,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,0.95,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.5,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.55,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.6,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.65,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.7,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.75,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.8,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.85,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.8999999999999999,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,0.95,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1599,0.5,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1599,0.55,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1599,0.6,1.0
