dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,mean_average_precision,average_precision_at_iou_50
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1599,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1418,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1385,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1237,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1283,1.0,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1377,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1608,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1582,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1444,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1599,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1418,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1385,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1237,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1283,1.0,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1377,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1608,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1582,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1444,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1599,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1418,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1385,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1237,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1283,1.0,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1377,1.0,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1608,0.832967,0.84615386
PV_in_HC,cellpose_single,0,1,1,2,2,1582,0.94194204,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1444,0.9818182,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1599,0.925,0.9444444
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.9313138,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.91999996,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.9333334,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.8955555,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.69210356,0.8076923
PV_in_HC,cellpose_single,1,1,1,3,3,1608,0.91589737,1.0
PV_in_HC,cellpose_single,1,1,1,3,3,1582,0.9289049,1.0
PV_in_HC,cellpose_single,1,1,1,3,3,1444,0.9191017,0.95238096
PV_in_HC,cellpose_single,1,1,1,3,3,1599,0.9694737,1.0
PV_in_HC,cellpose_single,1,1,1,3,3,1418,0.93798673,0.969697
PV_in_HC,cellpose_single,1,1,1,3,3,1385,0.9,1.0
PV_in_HC,cellpose_single,1,1,1,3,3,1237,0.54,0.5555556
PV_in_HC,cellpose_single,1,1,1,3,3,1283,0.87222224,1.0
PV_in_HC,cellpose_single,1,1,1,3,3,1377,0.65399534,0.7777778
PV_in_HC,cellpose_single,2,2,2,3,3,1608,0.832967,0.84615386
PV_in_HC,cellpose_single,2,2,2,3,3,1582,0.976,1.0
PV_in_HC,cellpose_single,2,2,2,3,3,1444,0.9033939,0.95238096
PV_in_HC,cellpose_single,2,2,2,3,3,1599,0.9342105,0.9444444
PV_in_HC,cellpose_single,2,2,2,3,3,1418,0.90096635,0.9411765
PV_in_HC,cellpose_single,2,2,2,3,3,1385,0.95,1.0
PV_in_HC,cellpose_single,2,2,2,3,3,1237,0.54,0.5555556
PV_in_HC,cellpose_single,2,2,2,3,3,1283,0.9272727,1.0
PV_in_HC,cellpose_single,2,2,2,3,3,1377,0.90901136,0.962963
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1608,1.0,1.0
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1582,0.9833333,1.0
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1444,0.9354037,0.95238096
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1599,0.9022671,0.94736844
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1418,0.9060543,0.9705882
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1385,0.95,1.0
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1237,0.57142866,0.5714286
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1283,0.90555555,1.0
PV_in_HC,cellpose_ensemble,0,1,1,2,2,1377,0.8901016,0.96428573
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1608,0.9833333,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1582,0.9913044,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1444,0.95238096,0.95238096
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1599,0.96090233,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1418,0.96661365,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1385,1.0,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1237,1.0,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1283,0.95555556,1.0
PV_in_HC,cellpose_ensemble,1,1,1,3,3,1377,0.93788755,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1608,0.9833333,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1582,1.0,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1444,0.973913,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1599,0.91107655,0.94736844
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1418,0.89987195,0.9705882
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1385,0.87,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1237,0.55178577,0.5714286
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1283,0.925,1.0
PV_in_HC,cellpose_ensemble,2,2,2,3,3,1377,0.9182266,0.96428573
PV_in_HC,unet_2019,0,1,1,2,2,1608,0.9263158,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1582,0.87064284,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1444,0.8511077,0.95238096
PV_in_HC,unet_2019,0,1,1,2,2,1599,0.8789474,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1418,0.8848338,0.9722222
PV_in_HC,unet_2019,0,1,1,2,2,1385,0.95,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1237,0.8519481,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1283,0.5516666,1.0
PV_in_HC,unet_2019,0,1,1,2,2,1377,0.75444657,0.93333334
PV_in_HC,unet_2019,1,1,1,3,3,1608,0.8197802,0.9166667
PV_in_HC,unet_2019,1,1,1,3,3,1582,0.8146273,0.95652175
PV_in_HC,unet_2019,1,1,1,3,3,1444,0.8289374,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1599,0.87037593,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1418,0.8735863,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1385,0.95,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1237,0.8138528,1.0
PV_in_HC,unet_2019,1,1,1,3,3,1283,0.57186514,0.85714287
PV_in_HC,unet_2019,1,1,1,3,3,1377,0.7909581,0.9655172
PV_in_HC,unet_2019,2,2,2,3,3,1608,0.8186717,0.9166667
PV_in_HC,unet_2019,2,2,2,3,3,1582,0.8430613,0.95652175
PV_in_HC,unet_2019,2,2,2,3,3,1444,0.8324558,0.95238096
PV_in_HC,unet_2019,2,2,2,3,3,1599,0.86398757,1.0
PV_in_HC,unet_2019,2,2,2,3,3,1418,0.86625797,0.9722222
PV_in_HC,unet_2019,2,2,2,3,3,1385,0.95,1.0
PV_in_HC,unet_2019,2,2,2,3,3,1237,0.8305195,1.0
