dataset,method,repetition,repetition_name,idx,AP50_class1,mAP_class1,average_AP50,average_mAP,AP50_class2,mAP_class2,AP50_class3,mAP_class3,AP50_class4,mAP_class4,AP50_class5,mAP_class5,AP50_class6,mAP_class6
monuseg,deepflash2,1,1,TCGA-AC-A2FO-01A-01-TS1,0.6510903239250183,0.252930611371994,0.6510903239250183,0.252930611371994,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-HT-8564-01Z-00-DX1,0.7407407164573669,0.3369353711605072,0.7407407164573669,0.3369353711605072,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-FG-A4MU-01B-01-TS1,0.7434456944465637,0.38677844405174255,0.7434456944465637,0.38677844405174255,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-EJ-A46H-01A-03-TSC,0.745674729347229,0.3976842761039734,0.745674729347229,0.3976842761039734,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-IZ-8196-01A-01-BS1,0.8019639849662781,0.43254464864730835,0.8019639849662781,0.43254464864730835,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-AO-A0J2-01A-01-BSA,0.6442105174064636,0.31554847955703735,0.6442105174064636,0.31554847955703735,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-A6-6782-01A-01-BS1,0.625,0.2745024561882019,0.625,0.2745024561882019,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-ZF-A9R5-01A-01-TS1,0.8565965294837952,0.5024784803390503,0.8565965294837952,0.5024784803390503,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-HC-7209-01A-01-TS1,0.7213541865348816,0.38539421558380127,0.7213541865348816,0.38539421558380127,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-69-7764-01A-01-TS1,0.6968085169792175,0.31499773263931274,0.6968085169792175,0.31499773263931274,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-44-2665-01B-06-BS6,0.8120045065879822,0.4159209728240967,0.8120045065879822,0.4159209728240967,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-CU-A0YN-01A-02-BSB,0.7389749884605408,0.39100101590156555,0.7389749884605408,0.39100101590156555,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-GL-6846-01A-01-BS1,0.7791262269020081,0.4157039523124695,0.7791262269020081,0.4157039523124695,,,,,,,,,,
monuseg,deepflash2,1,1,TCGA-2Z-A9J9-01A-01-TS1,0.7098150849342346,0.3511196970939636,0.7098150849342346,0.3511196970939636,,,,,,,,,,
monuseg,deepflash2,2,2,TCGA-AC-A2FO-01A-01-TS1,0.6645264625549316,0.27405664324760437,0.6645264625549316,0.27405664324760437,,,,,,,,,,
monuseg,deepflash2,2,2,TCGA-HT-8564-01Z-00-DX1,0.7123287916183472,0.32745227217674255,0.7123287916183472,0.32745227217674255,,,,,,,,,,
monuseg,deepflash2,2,2,TCGA-FG-A4MU-01B-01-TS1,0.7481343150138855,0.3913603127002716,0.7481343150138855,0.3913603127002716,,,,,,,,,,
