idx,dataset,uncertainty_score,data_distribution,error_category,rank
2375-0,GFAP_in_HC,0.9338685,fully out-of-distribution,,0
2378-2,GFAP_in_HC,0.9144243,fully out-of-distribution,,1
2365,mScarlet_in_PAG,0.8578588,fully out-of-distribution,,2
2377-2,GFAP_in_HC,0.83504087,fully out-of-distribution,,3
2354,mScarlet_in_PAG,0.8085829,fully out-of-distribution,,4
2355,mScarlet_in_PAG,0.80715865,fully out-of-distribution,,5
2364,mScarlet_in_PAG,0.80192393,fully out-of-distribution,,6
2366,mScarlet_in_PAG,0.7910106,fully out-of-distribution,,7
2347,YFP_in_CTX,0.7869795,fully out-of-distribution,,8
2377-0,GFAP_in_HC,0.7860886,fully out-of-distribution,,9
2376-2,GFAP_in_HC,0.78522176,fully out-of-distribution,,10
2334,YFP_in_CTX,0.7850483,fully out-of-distribution,,11
2359,mScarlet_in_PAG,0.7694551,fully out-of-distribution,,12
2363,mScarlet_in_PAG,0.7682776,fully out-of-distribution,,13
2368,mScarlet_in_PAG,0.7590552,fully out-of-distribution,,14
2340,YFP_in_CTX,0.7554388,fully out-of-distribution,,15
2343,YFP_in_CTX,0.7492699,fully out-of-distribution,,16
2341,YFP_in_CTX,0.74315006,fully out-of-distribution,,17
2342,YFP_in_CTX,0.7223353,fully out-of-distribution,,18
2332,YFP_in_CTX,0.70986223,fully out-of-distribution,,19
2349,YFP_in_CTX,0.699234,fully out-of-distribution,,20
2376-3,GFAP_in_HC,0.6677133,fully out-of-distribution,,21
1283,PV_in_HC,0.6589722,fully out-of-distribution,,22
2378-3,GFAP_in_HC,0.6499044,fully out-of-distribution,,23
1418,PV_in_HC,0.6488487,fully out-of-distribution,,24
1385,PV_in_HC,0.6439915,fully out-of-distribution,,25
1599,PV_in_HC,0.6403144,fully out-of-distribution,,26
2375-1,GFAP_in_HC,0.59882337,fully out-of-distribution,,27
1377,PV_in_HC,0.59165984,fully out-of-distribution,,28
0874,cFOS_in_HC,0.57471097,in-distribution,No error,29
1444,PV_in_HC,0.5604884,fully out-of-distribution,,30
1582,PV_in_HC,0.5108729,fully out-of-distribution,,31
1237,PV_in_HC,0.47965088,fully out-of-distribution,,32
0854,cFOS_in_HC,0.4711399,in-distribution,No error,33
0849,cFOS_in_HC,0.41111657,in-distribution,No error,34
1449,cFOS_in_HC,0.4075262,partly out-of-distribution,Blood vessels,35
1453,cFOS_in_HC,0.3976027,in-distribution,No error,36
1450,cFOS_in_HC,0.3926841,partly out-of-distribution,Blood vessels,37
1466,cFOS_in_HC,0.38930574,partly out-of-distribution,Blood vessels,38
0850,cFOS_in_HC,0.38304463,in-distribution,No error,39
1475,cFOS_in_HC,0.3815519,partly out-of-distribution,Folded tissue,40
1471,cFOS_in_HC,0.34785575,partly out-of-distribution,Blood vessels,41
1454,cFOS_in_HC,0.34042758,partly out-of-distribution,Blood vessels,42
1459,cFOS_in_HC,0.33162263,partly out-of-distribution,Blood vessels,43
1470,cFOS_in_HC,0.32717705,partly out-of-distribution,Blood vessels,44
0862,cFOS_in_HC,0.32071888,in-distribution,No error,45
0846,cFOS_in_HC,0.31889316,in-distribution,No error,46
0142,cFOS_in_HC,0.31847033,in-distribution,No error,47
1474,cFOS_in_HC,0.31781107,in-distribution,No error,48
1433,cFOS_in_HC,0.31380168,in-distribution,No error,49
1593,cFOS_in_HC,0.30454922,in-distribution,No error,50
1426,cFOS_in_HC,0.29960778,in-distribution,No error,51
1438,cFOS_in_HC,0.29783702,in-distribution,No error,52
0038,cFOS_in_HC,0.2960785,partly out-of-distribution,Blood vessels,53
1571,cFOS_in_HC,0.29598817,in-distribution,No error,54
0494,cFOS_in_HC,0.2880956,in-distribution,No error,55
0156,cFOS_in_HC,0.28768206,in-distribution,No error,56
0035,cFOS_in_HC,0.28760538,partly out-of-distribution,Blood vessels,57
1421,cFOS_in_HC,0.2848802,in-distribution,No error,58
0807,cFOS_in_HC,0.2847472,in-distribution,No error,59
0855,cFOS_in_HC,0.28359818,in-distribution,No error,60
1472,cFOS_in_HC,0.28319073,partly out-of-distribution,Folded tissue,61
0153,cFOS_in_HC,0.27584618,in-distribution,No error,62
1458,cFOS_in_HC,0.2707813,partly out-of-distribution,Blood vessels,63
0875,cFOS_in_HC,0.26806232,in-distribution,No error,64
1369,cFOS_in_HC,0.2626517,in-distribution,No error,65
0147,cFOS_in_HC,0.2621831,in-distribution,No error,66
0061,cFOS_in_HC,0.2614034,in-distribution,No error,67
1439,cFOS_in_HC,0.26031017,in-distribution,No error,68
1434,cFOS_in_HC,0.25822198,in-distribution,No error,69
0869,cFOS_in_HC,0.25726533,in-distribution,No error,70
0448,cFOS_in_HC,0.25407034,in-distribution,No error,71
0500,cFOS_in_HC,0.25337037,in-distribution,No error,72
0432,cFOS_in_HC,0.2514679,in-distribution,No error,73
0683,cFOS_in_HC,0.24965586,in-distribution,No error,74
0870,cFOS_in_HC,0.24927562,in-distribution,No error,75
1270,cFOS_in_HC,0.24892567,in-distribution,No error,76
0847,cFOS_in_HC,0.24873741,in-distribution,No error,77
1465,cFOS_in_HC,0.24689488,partly out-of-distribution,Blood vessels,78
0518,cFOS_in_HC,0.24372019,in-distribution,No error,79
1363,cFOS_in_HC,0.24359232,in-distribution,No error,80
0861,cFOS_in_HC,0.24345665,in-distribution,No error,81
1376,cFOS_in_HC,0.23774487,in-distribution,No error,82
1417,cFOS_in_HC,0.23684847,in-distribution,No error,83
1250,cFOS_in_HC,0.23647736,in-distribution,No error,84
0439,cFOS_in_HC,0.23404661,in-distribution,No error,85
1632,cFOS_in_HC,0.23365161,in-distribution,No error,86
0155,cFOS_in_HC,0.23063272,in-distribution,No error,87
0433,cFOS_in_HC,0.22907895,in-distribution,No error,88
0681,cFOS_in_HC,0.22881864,in-distribution,No error,89
1575,cFOS_in_HC,0.22843826,in-distribution,No error,90
0055,cFOS_in_HC,0.22817387,in-distribution,No error,91
1427,cFOS_in_HC,0.22769988,in-distribution,No error,92
0507,cFOS_in_HC,0.22732237,in-distribution,No error,93
1422,cFOS_in_HC,0.22322635,in-distribution,No error,94
0508,cFOS_in_HC,0.22271754,in-distribution,No error,95
1294,cFOS_in_HC,0.21864541,in-distribution,No error,96
0447,cFOS_in_HC,0.21731967,in-distribution,No error,97
0686,cFOS_in_HC,0.21714555,in-distribution,No error,98
1359,cFOS_in_HC,0.21713705,in-distribution,No error,99
0788,cFOS_in_HC,0.21653613,in-distribution,No error,100
1380,cFOS_in_HC,0.21596187,in-distribution,No error,101
1594,cFOS_in_HC,0.21565507,in-distribution,No error,102
0684,cFOS_in_HC,0.2155573,in-distribution,No error,103
1267,cFOS_in_HC,0.21546973,in-distribution,No error,104
0806,cFOS_in_HC,0.21546899,in-distribution,No error,105
0107,cFOS_in_HC,0.21503182,in-distribution,No error,106
1589,cFOS_in_HC,0.214927,in-distribution,No error,107
1603,cFOS_in_HC,0.21422285,in-distribution,No error,108
0800,cFOS_in_HC,0.21317665,in-distribution,No error,109
0793,cFOS_in_HC,0.2129911,in-distribution,No error,110
0699,cFOS_in_HC,0.2126669,in-distribution,No error,111
0157,cFOS_in_HC,0.2120208,in-distribution,No error,112
0495,cFOS_in_HC,0.21084157,in-distribution,No error,113
0000,cFOS_in_HC,0.21072659,in-distribution,No error,114
0697,cFOS_in_HC,0.20981975,partly out-of-distribution,Fluorescent particles,115
0702,cFOS_in_HC,0.20880069,in-distribution,No error,116
0680,cFOS_in_HC,0.20720135,in-distribution,No error,117
0512,cFOS_in_HC,0.20639272,in-distribution,No error,118
0675,cFOS_in_HC,0.20600271,in-distribution,No error,119
1288,cFOS_in_HC,0.20386809,in-distribution,No error,120
0052,cFOS_in_HC,0.20379645,in-distribution,No error,121
0812,cFOS_in_HC,0.20355459,in-distribution,No error,122
1266,cFOS_in_HC,0.20302719,in-distribution,No error,123
0003,cFOS_in_HC,0.20298393,in-distribution,No error,124
0661,cFOS_in_HC,0.20211013,in-distribution,No error,125
1581,cFOS_in_HC,0.20176812,in-distribution,No error,126
1280,cFOS_in_HC,0.20149362,in-distribution,No error,127
1382,cFOS_in_HC,0.20141532,in-distribution,No error,128
1274,cFOS_in_HC,0.20132081,in-distribution,No error,129
1606,cFOS_in_HC,0.20129581,in-distribution,No error,130
1600,cFOS_in_HC,0.20020014,in-distribution,No error,131
0032,cFOS_in_HC,0.19965078,in-distribution,No error,132
0648,cFOS_in_HC,0.19958495,in-distribution,No error,133
0801,cFOS_in_HC,0.1994441,in-distribution,No error,134
0009,cFOS_in_HC,0.19899316,in-distribution,No error,135
1232,cFOS_in_HC,0.19857794,in-distribution,No error,136
1243,cFOS_in_HC,0.1985468,in-distribution,No error,137
0042,cFOS_in_HC,0.19745311,partly out-of-distribution,Blood vessels,138
0790,cFOS_in_HC,0.19718432,in-distribution,No error,139
0026,cFOS_in_HC,0.19710541,in-distribution,No error,140
0453,cFOS_in_HC,0.19708171,in-distribution,No error,141
0649,cFOS_in_HC,0.1970312,partly out-of-distribution,Fluorescent particles,142
0033,cFOS_in_HC,0.19695792,in-distribution,No error,143
0691,cFOS_in_HC,0.19685233,in-distribution,No error,144
1625,cFOS_in_HC,0.19672766,in-distribution,No error,145
1262,cFOS_in_HC,0.196107,in-distribution,No error,146
0058,cFOS_in_HC,0.19543041,in-distribution,No error,147
0030,cFOS_in_HC,0.19405109,in-distribution,No error,148
0701,cFOS_in_HC,0.1933049,partly out-of-distribution,Fluorescent particles,149
0438,cFOS_in_HC,0.19313034,in-distribution,No error,150
0696,cFOS_in_HC,0.19291967,in-distribution,No error,151
0154,cFOS_in_HC,0.19216393,in-distribution,No error,152
1618,cFOS_in_HC,0.1916277,in-distribution,No error,153
1281,cFOS_in_HC,0.19101973,in-distribution,No error,154
0441,cFOS_in_HC,0.19037819,in-distribution,No error,155
1604,cFOS_in_HC,0.1893804,in-distribution,No error,156
0690,cFOS_in_HC,0.1891809,in-distribution,No error,157
0012,cFOS_in_HC,0.18906488,in-distribution,No error,158
0070,cFOS_in_HC,0.18869002,in-distribution,No error,159
0668,cFOS_in_HC,0.18795967,in-distribution,No error,160
0017,cFOS_in_HC,0.18662986,in-distribution,No error,161
0010,cFOS_in_HC,0.18637201,in-distribution,No error,162
0789,cFOS_in_HC,0.18546036,in-distribution,No error,163
1626,cFOS_in_HC,0.1847634,in-distribution,No error,164
0871,cFOS_in_HC,0.18336019,in-distribution,No error,165
1588,cFOS_in_HC,0.18295467,in-distribution,No error,166
0434,cFOS_in_HC,0.18295439,in-distribution,No error,167
0066,cFOS_in_HC,0.18274227,in-distribution,No error,168
0020,cFOS_in_HC,0.18265824,in-distribution,No error,169
0655,cFOS_in_HC,0.18202645,in-distribution,No error,170
0501,cFOS_in_HC,0.1818966,in-distribution,No error,171
1461,cFOS_in_HC,0.18133417,in-distribution,No error,172
0811,cFOS_in_HC,0.18092495,partly out-of-distribution,Fluorescent particles,173
0059,cFOS_in_HC,0.18070495,in-distribution,No error,174
0056,cFOS_in_HC,0.18048881,in-distribution,No error,175
1287,cFOS_in_HC,0.18002962,in-distribution,No error,176
1251,cFOS_in_HC,0.17938326,in-distribution,No error,177
1384,cFOS_in_HC,0.17909646,in-distribution,No error,178
0669,cFOS_in_HC,0.17881984,in-distribution,No error,179
0027,cFOS_in_HC,0.17858092,in-distribution,No error,180
0016,cFOS_in_HC,0.17847197,in-distribution,No error,181
1455,cFOS_in_HC,0.17793764,in-distribution,No error,182
0018,cFOS_in_HC,0.17790067,in-distribution,No error,183
0053,cFOS_in_HC,0.17751639,in-distribution,No error,184
0158,cFOS_in_HC,0.17742866,in-distribution,No error,185
