dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,dice_score
PV_in_HC,cellpose,0,1,cyto,2,cyto,1377,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1608,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1418,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1599,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1444,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1283,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1385,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1582,1.0
PV_in_HC,cellpose,0,1,cyto,2,cyto,1237,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1377,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1608,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1418,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1599,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1444,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1283,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1385,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1582,1.0
PV_in_HC,cellpose,1,1,cyto,3,cyto,1237,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1377,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1608,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1418,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1599,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1444,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1283,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1385,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1582,1.0
PV_in_HC,cellpose,2,2,cyto,3,cyto,1237,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.8843966045331233
PV_in_HC,cellpose_single,0,1,1,2,2,1608,0.9514578163771713
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.9744069495489476
PV_in_HC,cellpose_single,0,1,1,2,2,1599,0.9703317994671834
