dataset,method,repetition,repetition_name,idx,uncertainty_score,dice_score_class0,dice_score_class1,dice_score_class2,average_dice_score,dice_score_class3
gleason,deepflash2,1,1,slide003_core067,0.33065397,0.8240134872864847,0.8540238689864076,0.897279262510036,0.8584388729276428,
gleason,deepflash2,1,1,slide006_core109,0.16973774,0.9147008595539435,0.9520264518445204,,0.933363655699232,
gleason,deepflash2,1,1,slide006_core114,0.13221513,0.9562182942509427,,0.9716996102595595,0.9639589522552512,
gleason,deepflash2,1,1,slide002_core067,0.37429678,0.9040427485835729,0.8135965843245527,0.0,0.5725464443027085,
gleason,deepflash2,1,1,slide006_core023,0.15980679,0.8696786762510073,0.8931689177132501,,0.8814237969821287,
gleason,deepflash2,1,1,slide006_core102,0.20012373,0.9580416531420051,0.8020548915993871,0.9655529795641826,0.9085498414351916,
gleason,deepflash2,1,1,slide002_core084,0.37661946,0.8402381621521701,0.7155009403189551,0.48722873387934496,0.68098927878349,
gleason,deepflash2,1,1,slide006_core125,0.41211087,0.9050550840844673,0.6338135817406255,0.5780793347453388,0.7056493335234771,
gleason,deepflash2,1,1,slide003_core134,0.21672064,0.8451058596931174,0.8526356861803657,,0.8488707729367415,
gleason,deepflash2,1,1,slide005_core045,0.36487344,0.8589606371217707,0.0,0.7294084729780121,0.529456370033261,
gleason,deepflash2,1,1,slide001_core095,0.4358729,0.9581773023117102,0.6276147692186808,0.7101901541424003,0.7653274085575971,
gleason,deepflash2,1,1,slide006_core086,0.37658003,0.7762202476558759,0.1369289711027962,0.0,0.3043830729195574,
gleason,deepflash2,1,1,slide003_core055,0.33747882,0.8903806026252251,0.8436623539585913,0.5661812387280966,0.7667413984373043,
gleason,deepflash2,1,1,slide001_core059,0.43208918,0.9454942861905631,0.828429084078061,0.7612374844101241,0.8450536182262494,
gleason,deepflash2,1,1,slide006_core108,0.23368329,0.9384452753256184,0.8965048915193974,,0.9174750834225078,
gleason,deepflash2,1,1,slide003_core135,0.38590342,0.9741071410838085,0.44635627857907967,0.7768648299347455,0.732442749865878,
gleason,deepflash2,1,1,slide005_core021,0.21100019,0.9674257898302537,0.8984527924111577,0.45285728274822595,0.7729119549965459,
gleason,deepflash2,1,1,slide003_core097,0.13174534,0.9632556864157074,,0.977331382134499,0.9702935342751031,
gleason,deepflash2,1,1,slide001_core005,0.14074229,0.9666889384930236,,0.9790327625477965,0.97286085052041,
gleason,deepflash2,1,1,slide001_core004,0.1797399,0.9483032105721745,,0.9616620181044788,0.9549826143383267,
